航司代码,航司名称,产品名称,航线,订座舱位,上浮价格,政策返点,产品代码,出票OFFICE,备注,航司结算方式,产品有限期,司结算方式,票证类型
3U,四川航空,"3U机+选座+休息室+快
速安检组合产品","川航部分国内航线（休息室
、快速安检资源覆盖航点）",W,T-N舱公布运价+200元,75,*/0DJGQ,KMG319,"航班起飞48小时之前优享选座+自营休息室卡券一张+快
速安检券一张",,航班日期2026年3月29日-2026年10月24日,,GP/BSP
3U,四川航空,"3U机+选座+休息室+快
速安检组合产品","川航部分国内航线（休息室
、快速安检资源覆盖航点）",W,Q/M舱市场净价+200元,60,***/0DJGQ,KMG319,"航班起飞48小时之前优享选座+自营休息室卡券一张+快
速安检券一张",,航班日期2026年3月29日-2026年10月24日,,GP/BSP
3U,四川航空,"3U机+选座+休息室+快
速安检组合产品","川航部分国内航线（休息室
、快速安检资源覆盖航点）",W,T-N舱公布运价+200元,75,*/0DJHQ,KMG319,"航班起飞48小时之前优享选座+第三方休息室卡券一张+
快速安检券一张",,航班日期2026年3月29日-2026年10月24日,,GP/BSP
3U,四川航空,"3U机+选座+休息室+快
速安检组合产品","川航部分国内航线（休息室
、快速安检资源覆盖航点）",W,Q/M舱市场净价+200元,60,***/0DJHQ,KMG319,"航班起飞48小时之前优享选座+第三方休息室卡券一张+
快速安检券一张",,航班日期2026年3月29日-2026年10月24日,,GP/BSP
3U,四川航空,3U优惠退票,川航国内航线,T/H/G/L/E/R/K/N,200,75,*/0KJTP,KMG319,"自愿退票时间在航班计划离站时间48小时（含）前，退
票费率按照航班计划离站时间168小时（含）前费率执行",,航班日期2026年3月29日-2026年10月24日,,GP/BSP
3U,四川航空,3U优惠退票,川航国内航线,Q/M,200,60,"
***/0KJTP",KMG319,"自愿退票时间在航班计划离站时间48小时（含）前，退
票费率按照航班计划离站时间168小时（含）前费率执行",,航班日期2026年3月29日-2026年10月24日,,GP/BSP
3U,四川航空,3U里程加享,川航国内航线,T/H/G/L/E/R/K/N,50,15,*/0KJL1,KMG319,赠送额外500里程,,航班日期2026年3月29日-2026年10月24日,,GP/BSP
3U,四川航空,3U里程加享,川航国内航线,Q/M,50,10,"
***/0KJL1",KMG319,赠送额外500里程,,航班日期2026年3月29日-2026年10月24日,,GP/BSP
3U,四川航空,3U里程加享,川航国内航线,T/H/G/L/E/R/K/N,100,35,"*/0KJL2
",KMG319,赠送额外1000里程,,航班日期2026年3月29日-2026年10月24日,,GP/BSP
3U,四川航空,3U里程加享,川航国内航线,Q/M,100,30,"
***/0KJL2",KMG319,赠送额外1000里程,,航班日期2026年3月29日-2026年10月24日,,GP/BSP
3U,四川航空,3U里程加享,川航国内航线,T/H/G/L/E/R/K/N,150,55,*/0KJL3,KMG319,赠送额外1500里程,,航班日期2026年3月29日-2026年10月24日,,GP/BSP
3U,四川航空,3U里程加享,川航国内航线,Q/M,150,45,***/0KJL3,KMG319,赠送额外1500里程,,航班日期2026年3月29日-2026年10月24日,,GP/BSP
3U,四川航空,3U里程加享,川航国内航线,T/H/G/L/E/R/K/N,200,75,*/0KJL4,KMG319,赠送额外2000里程,,航班日期2026年3月29日-2026年10月24日,,GP/BSP
3U,四川航空,3U里程加享,川航国内航线,Q/M,200,60,***/0KJL4,KMG319,赠送额外2000里程,,航班日期2026年3月29日-2026年10月24日,,GP/BSP
3U,四川航空,3U里程加享,川航国内航线,I/J,400,160,*/0KJL5,KMG319,赠送额外4000里程,,航班日期2026年3月29日-2026年10月24日,,GP/BSP
3U,四川航空,3U里程加享,川航国内航线,I/J,400,160,*/0KJL5,KMG319,赠送额外4000里程,,航班日期2026年3月29日-2026年10月24日,,GP/BSP
3U,四川航空,3U里程加享,川航国内航线,T/H/G/L/E/R/K/N,400,140,***/0KJL5,KMG319,赠送额外4000里程,,航班日期2026年3月29日-2026年10月24日,,GP/BSP
3U,四川航空,3U里程加享,川航国内航线,I/J,800,330,*/0KJL8,KMG319,赠送额外8000里程,,航班日期2026年3月29日-2026年10月24日,,GP/BSP
3U,四川航空,3U里程加享,川航国内航线,T/H/G/L/E/R/K/N,800,330,*/0KJL8,KMG319,赠送额外8000里程,,航班日期2026年3月29日-2026年10月24日,,GP/BSP
3U,四川航空,3U里程加享,川航国内航线,Q/M,800,300,***/0KJL8,KMG319,赠送额外8000里程,,航班日期2026年3月29日-2026年10月24日,,GP/BSP
3U,四川航空,3U里程加享,川航国际地区航线,C/I/J/P/Y/T/W/H/M/G/S/L/Q/E/V/R/N,"单程+100元
往返+200元","单程40元
往返80元","*M01**
*M11**",KMG319,"单程赠送额外1000里程
往返赠送额外1000里程",,航班日期2026年3月29日-2026年10月24日,,GP/BSP
3U,四川航空,3U里程加享,川航国际地区航线,C/I/J/P/Y/T/W/H/M/G/S/L/Q/E/V/R/N,"单程+200元
往返+400元","单程80元
往返160元","*M02**
*M12**",KMG319,"单程赠送额外2000里程
往返赠送额外4000里程",,航班日期2026年3月29日-2026年10月24日,,GP/BSP
3U,四川航空,3U里程加享,川航国际地区航线,C/I/J/P/Y/T/W/H/M/G/S/L/Q/E/V/R/N,"单程+500元
往返+1000元","单程200元
往返400元","*M05**
*M15**",KMG319,"单程赠送额外5000里程
往返赠送额外10000里程",,航班日期2026年3月29日-2026年10月24日,,GP/BSP
3U,四川航空,3U行李加享,川航国际地区航线,Y/T/W/H/M/G/S/L/Q/E/V/R/N/U/X/K/B,动态定价,/,***BE***,KMG319,额外1件免费托运行李额,,航班日期2026年3月29日-2026年10月24日,,GP/BSP
3U,四川航空,3U航段加速/Q/M舱加价,所有航线,订：Q/M 舱  Q/M舱加价,50,20,YTD4NQF1,KMG319/KMG279/CTU152,运价标识：YTD4NQF1 前返,,有效,,GP/BSP
