产品名称,航线,订座舱位,上浮价格,政策返点,产品代码,票证类型,出票OFFICE,备注,产品有限期,航司结算方式,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,上浮/下浮价格,政策返点（后返+车辆后返+代理费),上浮价格/直减,结算方式
3U机+接送车,川航天府进出港国内航线,T/H/G/L/E/R/K/N,150,55,*/0CJJF,GP/BSP,KMG319,赠送300元天府行接送车券,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
3U机+接送车,川航天府进出港国内航线,Q/M,150,45,***/0CJJF,GP/BSP,KMG319,赠送300元天府行接送车券,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
3U机+优享选座,川航国内航线,W,T-N舱公布运价+100元,35,*/0DJXZ,GP/BSP,KMG319,航班起飞48小时之前优享选座,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
3U机+优享选座,川航国内航线,W,"
Q/M舱市场净价+100元",30,***/0DJXZ,GP/BSP,KMG319,航班起飞48小时之前优享选座,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
"3U机+选座+休息室组
合产品","川航双流、天府、重庆、北
京出港国内航线",W,T-N舱公布运价+150元,55,*/0DJEQ,GP/BSP,KMG319,"航班起飞48小时之前优享选座+赠送川航自营休息室通
用卡券一张（双流、天府、重庆、北京）",航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
"3U机+选座+休息室组
合产品","川航双流、天府、重庆、北
京出港国内航线",W,Q/M舱市场净价+150元,45,***/0DJEQ,GP/BSP,KMG319,"航班起飞48小时之前优享选座+赠送川航自营休息室通
用卡券一张（双流、天府、重庆、北京）",航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
"3U机+选座+休息室组
合产品","川航部分国内航线（第三方
休息室资源覆盖航点）",W,T-N舱公布运价+150元,55,*/0DJFQ,GP/BSP,KMG319,"航班起飞48小时之前优享选座+赠送第三方休息室通用
卡券一张",航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
"3U机+选座+休息室组
合产品","川航部分国内航线（第三方
休息室资源覆盖航点）",W,Q/M舱市场净价+150元,45,***/0DJFQ,GP/BSP,KMG319,"航班起飞48小时之前优享选座+赠送第三方休息室通用
卡券一张",航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
"3U机+选座+休息室+快
速安检组合产品","川航部分国内航线（休息室
、快速安检资源覆盖航点）",W,T-N舱公布运价+200元,75,*/0DJGQ,GP/BSP,KMG319,"航班起飞48小时之前优享选座+自营休息室卡券一张+快
速安检券一张",航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
"3U机+选座+休息室+快
速安检组合产品","川航部分国内航线（休息室
、快速安检资源覆盖航点）",W,Q/M舱市场净价+200元,60,***/0DJGQ,GP/BSP,KMG319,"航班起飞48小时之前优享选座+自营休息室卡券一张+快
速安检券一张",航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,,,,,,
