产品名称,航线,订座舱位,上浮价格,政策返点,产品代码,票证类型,出票OFFICE,备注,产品有限期,,,,,,,,,,,,,,,,,
EU舒适经济舱,所有航线,M舱,280,140,YBSS280+订座,GP/BSP,KMG319/279/CTU152,经济舱第二或第二三排座位、优先登/离机、差异化机上服务、差异化机上用品（餐食、饮品及机上用品情况以航班实际配备为准）,旅行日期2026-03-29-2026-10-24,,,,,,,,,,,,,,,,,
EU舒适经济舱,所有航线,M舱,400,220,YBSS400+订座,GP/BSP,KMG319/279/CTU152,经济舱第二或第二三排座位、优先登/离机、差异化机上服务、差异化机上用品（餐食、饮品及机上用品情况以航班实际配备为准）,旅行日期2026-03-29-2026-10-24,,,,,,,,,,,,,,,,,
EUB舱溢价,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N舱,30,15,YCZY+溢价价格,GP/BSP,KMG319/279,"适用航线:
成都航空实际承运的出港国内直达（含经停）指定航班见附表，不含代码共享航班。
旅行日期：2026年03月29日-2026年06月30日",销售日期2026年03月25日-2026年06月30日,,,,,,,,,,,,,,,,,
EUB舱溢价,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N舱,40,20,YCZY+溢价价格,GP/BSP,KMG319/279,"适用航线:
成都航空实际承运的出港国内直达（含经停）指定航班见附表，不含代码共享航班。
旅行日期：2026年03月29日-2026年06月30日",销售日期2026年03月25日-2026年06月30日,,,,,,,,,,,,,,,,,
EUB舱溢价,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N舱,50,25,YCZY+溢价价格,GP/BSP,KMG319/279,"适用航线:
成都航空实际承运的出港国内直达（含经停）指定航班见附表，不含代码共享航班。
旅行日期：2026年03月29日-2026年06月30日",销售日期2026年03月25日-2026年06月30日,,,,,,,,,,,,,,,,,
EUB舱溢价,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N舱,80,40,YCZY+溢价价格,GP/BSP,KMG319/279,"适用航线:
成都航空实际承运的出港国内直达（含经停）指定航班见附表，不含代码共享航班。
旅行日期：2026年03月29日-2026年06月30日",销售日期2026年03月25日-2026年06月30日,,,,,,,,,,,,,,,,,
EUB舱溢价,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N舱,150,75,YCZY+溢价价格,GP/BSP,KMG319/279,"适用航线:
成都航空实际承运的出港国内直达（含经停）指定航班见附表，不含代码共享航班。
旅行日期：2026年03月29日-2026年06月30日",销售日期2026年03月25日-2026年06月30日,,,,,,,,,,,,,,,,,
EUB舱溢价,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N舱,200,100,YCZY+溢价价格,GP/BSP,KMG319/279,"适用航线:
成都航空实际承运的出港国内直达（含经停）指定航班见附表，不含代码共享航班。
旅行日期：2026年03月29日-2026年06月30日",销售日期2026年03月25日-2026年06月30日,,,,,,,,,,,,,,,,,
EUB舱溢价,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N舱,260,130,YCZY+溢价价格,GP/BSP,KMG319/279,"适用航线:
成都航空实际承运的出港国内直达（含经停）指定航班见附表，不含代码共享航班。
旅行日期：2026年03月29日-2026年06月30日",销售日期2026年03月25日-2026年06月30日,,,,,,,,,,,,,,,,,
EU行李无忧,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N,T-N舱公布运价+指定比例,溢价部分50%,YBLX10/20/30/40/50/60+舱位代码,GP/BSP,KMG319/KMG279/CTU152,25KG托运行李额。,"销售日期：2025年05月10日—2033年12月31日
航班日期：2025年05月10日—2033年12月31日",,,,,,,,,,,,,,,,,
EU无忧退,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N,150,75,YBTP150+舱位代码,GP/BSP,KMG319/KMG279/CTU152,自愿退票时间在航班预计离站时间前 72 小时（含）前， 仅收取产品加价额度作为优惠退票费。,有效,,,,,,,,,,,,,,,,,
EU无忧退,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N,300,150,YBTP300+舱位代码,GP/BSP,KMG319/KMG279/CTU152,自愿退票时间在航班预计离站时间前 72 小时（含）前， 仅收取产品加价额度作为优惠退票费。,有效,,,,,,,,,,,,,,,,,
EU无忧退,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N,450,225,YBTP450+舱位代码,GP/BSP,KMG319/KMG279/CTU152,自愿退票时间在航班预计离站时间前 72 小时（含）前， 仅收取产品加价额度作为优惠退票费。,有效,,,,,,,,,,,,,,,,,
EU高舱高奖,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N,高-低,溢价部分60%,YAGC+溢价幅度+舱位代码,GP/BSP,KMG319/KMG279/CTU152,渠道代理提供自有服务权益,有效,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
