航司,产品名称,航线,订座舱位,上浮价格,前返计算方式 ,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效及截止日期,创建人,创建时间,,,,,,,,,,,,,,
NS,NS乐享行李,"1.非“一线一策”航班：

2.“一线一策”航班：SJWTFU/SJWSYX/SJWHAK/SJWKMG 往返；INCGYU/HGHUCB/SHECKG 单程；
3.大兴出港航班",R/U/Z舱,260,固定值,90,,,,W260F90,GP/BSP,KMG319/KMG279,"1.非“一线一策”航班：
订座R/U/Z舱，在外放R/U/Z舱的基础上加价销售，可得10-30kg行李额。
2.“一线一策”航班：SJWTFU/SJWSYX/SJWHAK/SJWKMG 往返；INCGYU/HGHUCB/SHECKG 单程；
3.大兴出港航班：订座R/U/Z舱，在外放R/U/Z舱的基础上加价销售，可得30kg行李额。
1.非“一线一策”航班：G120F20/T180F60/W260F90
2.“一线一策”航班:详见产品通告
3.大兴出港：G120F20",2026/12/31,,,,,,,,,,,,,,,,
NS,NSGP产品,所有航线，除大兴出港,"免退改权益：仅限B/M/L/K/N/Q/V/T/R/U/Z 舱
行李额权益：R/U/Z舱",220,固定值,70,,,,（限GP出票指令自动出票，不得修改价格）,GP/BSP,KMG319/KMG279,"免退改权益：70/110/150/190；行李额权益：大兴出港：40元，其余航班：40/90/120元
1、专属客户经理服务权益（专属客户经理服务权益由出票方提供，包括一对一服务、全天不限时售后等内容）
2、一次免收自愿变更手续费或免收自愿退票费（二选一）
3、大兴出港航班：订座R/U/Z舱，在外放R/U/Z舱的基础上加价销售，可得30kg行李额。
其他航班：订座R/U/Z舱，在外放R/U/Z舱的基础上加价销售，可得10-30kg行李额。
3.仅限成人GP客户。",有效,,,,,,,,,,,,,,,,
NS,NSGP产品,所有航线，除大兴出港,"免退改权益：仅限B/M/L/K/N/Q/V/T/R/U/Z 舱
行李额权益：R/U/Z舱",340,固定值,110,,,,（限GP出票指令自动出票，不得修改价格）,GP/BSP,KMG319/KMG279,"免退改权益：70/110/150/190；行李额权益：大兴出港：40元，其余航班：40/90/120元
1、专属客户经理服务权益（专属客户经理服务权益由出票方提供，包括一对一服务、全天不限时售后等内容）
2、一次免收自愿变更手续费或免收自愿退票费（二选一）
3、大兴出港航班：订座R/U/Z舱，在外放R/U/Z舱的基础上加价销售，可得30kg行李额。
其他航班：订座R/U/Z舱，在外放R/U/Z舱的基础上加价销售，可得10-30kg行李额。
3.仅限成人GP客户。",有效,,,,,,,,,,,,,,,,
NS,NSGP产品,所有航线，除大兴出港,"免退改权益：仅限B/M/L/K/N/Q/V/T/R/U/Z 舱
行李额权益：R/U/Z舱",480,固定值,150,,,,（限GP出票指令自动出票，不得修改价格）,GP/BSP,KMG319/KMG279,"免退改权益：70/110/150/190；行李额权益：大兴出港：40元，其余航班：40/90/120元
1、专属客户经理服务权益（专属客户经理服务权益由出票方提供，包括一对一服务、全天不限时售后等内容）
2、一次免收自愿变更手续费或免收自愿退票费（二选一）
3、大兴出港航班：订座R/U/Z舱，在外放R/U/Z舱的基础上加价销售，可得30kg行李额。
其他航班：订座R/U/Z舱，在外放R/U/Z舱的基础上加价销售，可得10-30kg行李额。
3.仅限成人GP客户。",有效,,,,,,,,,,,,,,,,
NS,NSGP产品,所有航线，除大兴出港,"免退改权益：仅限B/M/L/K/N/Q/V/T/R/U/Z 舱
行李额权益：R/U/Z舱",600,固定值,190,,,,（限GP出票指令自动出票，不得修改价格）,GP/BSP,KMG319/KMG279,"免退改权益：70/110/150/190；行李额权益：大兴出港：40元，其余航班：40/90/120元
1、专属客户经理服务权益（专属客户经理服务权益由出票方提供，包括一对一服务、全天不限时售后等内容）
2、一次免收自愿变更手续费或免收自愿退票费（二选一）
3、大兴出港航班：订座R/U/Z舱，在外放R/U/Z舱的基础上加价销售，可得30kg行李额。
其他航班：订座R/U/Z舱，在外放R/U/Z舱的基础上加价销售，可得10-30kg行李额。
3.仅限成人GP客户。",有效,,,,,,,,,,,,,,,,
NS,NSGP产品,大兴出港：,"免退改权益：仅限B/M/L/K/N/Q/V/T/R/U/Z 舱
行李额权益：R/U/Z舱",220,固定值,40,,,,（限GP出票指令自动出票，不得修改价格）,GP/BSP,KMG319/KMG279,"免退改权益：70/110/150/190；行李额权益：大兴出港：40元，其余航班：40/90/120元
1、专属客户经理服务权益（专属客户经理服务权益由出票方提供，包括一对一服务、全天不限时售后等内容）
2、一次免收自愿变更手续费或免收自愿退票费（二选一）
3、大兴出港航班：订座R/U/Z舱，在外放R/U/Z舱的基础上加价销售，可得30kg行李额。
其他航班：订座R/U/Z舱，在外放R/U/Z舱的基础上加价销售，可得10-30kg行李额。
3.仅限成人GP客户。",有效,,,,,,,,,,,,,,,,
NS,NSGP产品,大兴出港：,"免退改权益：仅限B/M/L/K/N/Q/V/T/R/U/Z 舱
行李额权益：R/U/Z舱",280,固定值,90,,,,（限GP出票指令自动出票，不得修改价格）,GP/BSP,KMG319/KMG279,"免退改权益：70/110/150/190；行李额权益：大兴出港：40元，其余航班：40/90/120元
1、专属客户经理服务权益（专属客户经理服务权益由出票方提供，包括一对一服务、全天不限时售后等内容）
2、一次免收自愿变更手续费或免收自愿退票费（二选一）
3、大兴出港航班：订座R/U/Z舱，在外放R/U/Z舱的基础上加价销售，可得30kg行李额。
其他航班：订座R/U/Z舱，在外放R/U/Z舱的基础上加价销售，可得10-30kg行李额。
3.仅限成人GP客户。",有效,,,,,,,,,,,,,,,,
NS,NSGP产品,大兴出港：,"免退改权益：仅限B/M/L/K/N/Q/V/T/R/U/Z 舱
行李额权益：R/U/Z舱",360,固定值,120,,,,（限GP出票指令自动出票，不得修改价格）,GP/BSP,KMG319/KMG279,"免退改权益：70/110/150/190；行李额权益：大兴出港：40元，其余航班：40/90/120元
1、专属客户经理服务权益（专属客户经理服务权益由出票方提供，包括一对一服务、全天不限时售后等内容）
2、一次免收自愿变更手续费或免收自愿退票费（二选一）
3、大兴出港航班：订座R/U/Z舱，在外放R/U/Z舱的基础上加价销售，可得30kg行李额。
其他航班：订座R/U/Z舱，在外放R/U/Z舱的基础上加价销售，可得10-30kg行李额。
3.仅限成人GP客户。",有效,,,,,,,,,,,,,,,,
NS,NS航信优选,所有航线,仅限B/M/L/K/N/Q/V/T舱及特价舱（R/U/Z）,200,固定值,40,,,,*HXXX200,GP/BSP,KMG319/KMG279,"1.“机+休息室”票价级别为订票舱位代码+HXXX+产品运价；
",,,,,,,,,,,,,,,,,
NS,NS航信优选,所有航线,仅限B/M/L/K/N/Q/V/T舱及特价舱（R/U/Z）,110,固定值,10,,,,*HXPS110,GP/BSP,KMG319/KMG279,"2.“机+行李配送”票价级别为订票舱位代码+HXPS+产品运价；
",,,,,,,,,,,,,,,,,
NS,NS航信优选,所有航线,仅限B/M/L/K/N/Q/V/T舱及特价舱（R/U/Z）,120,固定值,30,,,,*HXAJ120,GP/BSP,KMG319/KMG279,3.“机+快速安检”票价级别为订票舱位代码+HXAJ+产品运价,,,,,,,,,,,,,,,,,
