航司,产品名称,航线,订座舱位,上浮价格,前返计算方式 ,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效及截止日期,创建人,创建时间,,,,,,,,,,,,,,
QW,QW商旅首选积分加享,不含代码共享航班和包机航线。 现阶段包机航班为：青岛=宜宾=西双版纳、兰州=宜宾=西双版纳。,B/H/L/P/Q/G/V/U/Z/R/N/E,40,固定值,200,,,,GQFJF40,GP/BSP,KMG319/KMG279,"
订座舱位+QFJF（固定格式）+直加金额（例如：Q 舱直加 40 元用 QQFJF40 表示；G 舱直加 350 元用 GQFJF350 表示）。 ",有效,,,,,,,,,,,,,,,,
QW,QW商旅首选积分加享,不含代码共享航班和包机航线。 现阶段包机航班为：青岛=宜宾=西双版纳、兰州=宜宾=西双版纳。,"B/H/L/P/Q/G/V/U/Z/R/N/E
",140,固定值,80,,,,GQFJF140,GP/BSP,KMG319/KMG279,订座舱位+QFJF（固定格式）+直加金额（例如：Q 舱直加 40 元用 QQFJF40 表示；G 舱直加 350 元用 GQFJF350 表示）。,有效,,,,,,,,,,,,,,,,
QW,QW商旅首选积分加享,不含代码共享航班和包机航线。 现阶段包机航班为：青岛=宜宾=西双版纳、兰州=宜宾=西双版纳。,"B/H/L/P/Q/G/V/U/Z/R/N/E
",240,固定值,130,,,,GQFJF240,GP/BSP,KMG319/KMG279,订座舱位+QFJF（固定格式）+直加金额（例如：Q 舱直加 40 元用 QQFJF40 表示；G 舱直加 350 元用 GQFJF350 表示）。,有效,,,,,,,,,,,,,,,,
QW,QW商旅首选积分加享,不含代码共享航班和包机航线。 现阶段包机航班为：青岛=宜宾=西双版纳、兰州=宜宾=西双版纳。,"B/H/L/P/Q/G/V/U/Z/R/N/E
",350,固定值,200,,,,GQFJF350,GP/BSP,KMG319/KMG279,订座舱位+QFJF（固定格式）+直加金额（例如：Q 舱直加 40 元用 QQFJF40 表示；G 舱直加 350 元用 GQFJF350 表示）。,有效,,,,,,,,,,,,,,,,
QW,QW商旅首选积分加享,不含代码共享航班和包机航线。 现阶段包机航班为：青岛=宜宾=西双版纳、兰州=宜宾=西双版纳。,"B/H/L/P/Q/G/V/U/Z/R/N/E
",500,固定值,270,,,,GQFJF500,GP/BSP,KMG319/KMG279,订座舱位+QFJF（固定格式）+直加金额（例如：Q 舱直加 40 元用 QQFJF40 表示；G 舱直加 350 元用 GQFJF350 表示）。,有效,,,,,,,,,,,,,,,,
QW,QW商务优行礼品赠,上浮70元，120元，200元，400，赠送礼物,"B/H/L/P/Q/G/V/U/Z/R/N/E
",70/120/200/400,固定值,无,,,,,GP/BSP,KMG319/KMG279,"1.赠小机模,2.大机模, 3.U 型枕，4.小巨蛋",有效,,,,,,,,,,,,,,,,
QW,QW商务优享,青岛航空国内自营航班（包机、代码共享航班除外）,"订座舱位：（Y/B/H/L/P/Q/G/V/I 舱）
联动舱位：联动舱位：L/P/Q/G/V/U/Z/R/N/E
",差价,百分比,60%,,,,,GP/BSP,KMG319/KMG279,"运价基础：预定舱位+上浮折扣+SW+联动舱位原始运
价基础",有效,,,,,,,,,,,,,,,,
QW,QW商旅首选积分加享,不含代码共享航班和包机航线。 现阶段包机航班为：青岛=宜宾=西双版纳、兰州=宜宾=西双版纳。,包机航线：包机 航线：青岛=宜宾=版纳，温州=衡阳=德宏,,,,,,,,,,,,,,,,,,,,,,,,,,,
