航司,产品名称,航线,订座舱位,上浮价格,前返计算方式,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效截止日期,创建人,创建时间
JR幸福,1、幸福优享,所有线,订：N舱   B/H,30,,,,,,,BSP/GP,KMG319,运价标识：A23                                        1.价格为当日经济舱最低开放舱位基础上浮50元，但上浮后最高不得高于Y 舱全价价格。                                   2.旅客在航班规定离站时间48小时之前自愿变更的，可享受一次免收变更费,有效,,
JR幸福,1、幸福优享,所有线,订：N舱  M/R/V/T/S,25,,,,,,,BSP/GP,KMG319,运价标识：A23                                        1.价格为当日经济舱最低开放舱位基础上浮50元，但上浮后最高不得高于Y 舱全价价格。                                   2.旅客在航班规定离站时间48小时之前自愿变更的，可享受一次免收变更费,有效,,
JR幸福,1、幸福优享,所有线,订：N舱 L/J//W/X/G/I,20,,,,,,,BSP/GP,KMG319,运价标识：A23                                        1.价格为当日经济舱最低开放舱位基础上浮50元，但上浮后最高不得高于Y 舱全价价格。                                   2.旅客在航班规定离站时间48小时之前自愿变更的，可享受一次免收变更费,有效,,
JR幸福,2、幸福航空 超值经济舱D舱,所有线,订D:浮动Y舱,15,,,,,,,BSP/GP,KMG319,"1.经济舱前四排，优先选座
2.免费行李25KG
产品代码：A03",有效,,
JR幸福,2、幸福航空 超值经济舱D舱,所有线,订D:浮动B/H/M/R/V/T/S/L/J/W/X/G,50,,,,,,,BSP/GP,KMG319,"1.经济舱前四排，优先选座
2.免费行李25KG
产品代码：A03",有效,,
JR幸福,2、幸福航空 超值经济舱D舱,所有线,订D:浮动B/H/M/R/V/T/S/L/J/W/X/G,50,,,,,,,BSP/GP,KMG319,"1.经济舱前四排，优先选座
2.免费行李25KG
产品代码：A03",有效,,
JR幸福,2、幸福航空 超值经济舱D舱,所有线,订D:浮动B/H/M/R/V/T/S/L/J/W/X/G,50,,,,,,,BSP/GP,KMG319,"1.经济舱前四排，优先选座
2.免费行李25KG
产品代码：A03",有效,,
JR幸福,2、幸福航空 超值经济舱D舱,所有线,订D:浮动B/H/M/R/V/T/S/L/J/W/X/G,50,,,,,,,BSP/GP,KMG319,"1.经济舱前四排，优先选座
2.免费行李25KG
产品代码：A03",有效,,
JR幸福,3、幸福航空 超值经济舱D舱,所有线,订D:浮动B/H/M/R/V/T/S/L/J/W/X/G,50,,,,,,,BSP/GP,KMG319,"1.经济舱前四排，优先选座
2.免费行李25KG
产品代码：A03",有效,,
