航司,产品名称,航线,订座舱位,上浮价格,前返计算方式 ,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效及截止日期,创建人,创建时间,,,,,,,,,,,,,,
EU,EUB舱溢价,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N舱,20,固定值,10,,,,YCZY20,,,,,,,,,,,,,,,,,,,,
EU,EUB舱溢价,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N舱,30,固定值,15,,,,YCZY30,GP/BSP,KMG319/279,"适用航线:
成都航空实际承运的出港国内直达（含经停）指定航班见附表，不含代码共享航班。
旅行日期：2026年03月29日-2026年06月30日",销售日期2026年03月25日-2026年06月30日,,,,,,,,,,,,,,,,
EU,EUB舱溢价,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N舱,40,固定值,20,,,,YCZY40,GP/BSP,KMG319/279,"适用航线:
成都航空实际承运的出港国内直达（含经停）指定航班见附表，不含代码共享航班。
旅行日期：2026年03月29日-2026年06月30日",销售日期2026年03月25日-2026年06月30日,,,,,,,,,,,,,,,,
EU,EUB舱溢价,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N舱,50,固定值,25,,,,YCZY50,GP/BSP,KMG319/279,"适用航线:
成都航空实际承运的出港国内直达（含经停）指定航班见附表，不含代码共享航班。
旅行日期：2026年03月29日-2026年06月30日",销售日期2026年03月25日-2026年06月30日,,,,,,,,,,,,,,,,
EU,EUB舱溢价,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N舱,80,固定值,40,,,,YCZY80,GP/BSP,KMG319/279,"适用航线:
成都航空实际承运的出港国内直达（含经停）指定航班见附表，不含代码共享航班。
旅行日期：2026年03月29日-2026年06月30日",销售日期2026年03月25日-2026年06月30日,,,,,,,,,,,,,,,,
EU,EUB舱溢价,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N舱,150,固定值,75,,,,YCZY150,GP/BSP,KMG319/279,"适用航线:
成都航空实际承运的出港国内直达（含经停）指定航班见附表，不含代码共享航班。
旅行日期：2026年03月29日-2026年06月30日",销售日期2026年03月25日-2026年06月30日,,,,,,,,,,,,,,,,
EU,EUB舱溢价,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N舱,200,固定值,100,,,,YCZY200,GP/BSP,KMG319/279,"适用航线:
成都航空实际承运的出港国内直达（含经停）指定航班见附表，不含代码共享航班。
旅行日期：2026年03月29日-2026年06月30日",销售日期2026年03月25日-2026年06月30日,,,,,,,,,,,,,,,,
EU,EUB舱溢价,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N舱,260,固定值,130,,,,YCZY260,GP/BSP,KMG319/279,"适用航线:
成都航空实际承运的出港国内直达（含经停）指定航班见附表，不含代码共享航班。
旅行日期：2026年03月29日-2026年06月30日",销售日期2026年03月25日-2026年06月30日,,,,,,,,,,,,,,,,
EU,EU行李无忧,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N,T-N舱公布运价+指定比例,百分比,溢价部分50%,,,,"YBLX10*,YBLX20*,YBLX30*,YBLX40*,YBLX50*,YBLX60*",GP/BSP,KMG319/KMG279/CTU152,25KG托运行李额。,"销售日期：2025年05月10日—2033年12月31日
航班日期：2025年05月10日—2033年12月31日",,,,,,,,,,,,,,,,
EU,EU无忧退,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N,150,固定值,75,,,,YBTP150*,GP/BSP,KMG319/KMG279/CTU152,自愿退票时间在航班预计离站时间前 72 小时（含）前， 仅收取产品加价额度作为优惠退票费。,有效,,,,,,,,,,,,,,,,
EU,EU无忧退,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N,300,固定值,150,,,,YBTP300*,GP/BSP,KMG319/KMG279/CTU152,自愿退票时间在航班预计离站时间前 72 小时（含）前， 仅收取产品加价额度作为优惠退票费。,有效,,,,,,,,,,,,,,,,
EU,EU无忧退,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N,450,固定值,225,,,,YBTP450*,GP/BSP,KMG319/KMG279/CTU152,自愿退票时间在航班预计离站时间前 72 小时（含）前， 仅收取产品加价额度作为优惠退票费。,有效,,,,,,,,,,,,,,,,
EU,EU高舱高奖,所有航线,T/H/G/S/L/Q/E/V/R/K/I/N,高-低,百分比,溢价部分60%,,,,YAGC+溢价幅度+舱位代码,GP/BSP,KMG319/KMG279/CTU152,渠道代理提供自有服务权益,有效,,,,,,,,,,,,,,,,
