航司,产品名称,航线,订座舱位,上浮价格,前返计算方式,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效截止日期,创建人,创建时间
UQ乌鲁木齐,悦享经济舱,所有航线,W,500,固定值,,,200,,WCCG,BSP/GP,,,有效,,
UQ乌鲁木齐,舒享经济舱,"乌鲁木齐航空国内自营航班（包机及乌
鲁木齐航空为市场方的代码共享航班除外）",R舱H/K/L/M/X,淡季溢价100元,固定值,,,20,,RCCJ,BSP/GP,KMG319/KMG279,"优先权益：优先登机
行李:20KG行李额+超大手提行李
座位：前三排座位",有效,,
UQ乌鲁木齐,舒享经济舱,"乌鲁木齐航空国内自营航班（包机及乌
鲁木齐航空为市场方的代码共享航班除外）",,旺季溢价120元,固定值,,,20,,RCCJ,BSP/GP,,,有效,,
UQ乌鲁木齐,舒享经济舱,"乌鲁木齐航空国内自营航班（包机及乌
鲁木齐航空为市场方的代码共享航班除外）",R舱V/N/A/U/T,淡季溢价180元,固定值,,,20,,RCCJ,BSP/GP,,,有效,,
UQ乌鲁木齐,舒享经济舱,"乌鲁木齐航空国内自营航班（包机及乌
鲁木齐航空为市场方的代码共享航班除外）",,旺季季溢价200元,固定值,,,20,,RCCJ,BSP/GP,,,有效,,
UQ乌鲁木齐,舒享经济舱高舱高返,全航线,R舱,400,固定值,,,200,,RCGF,BSP/GP,,,有效,,
UQ乌鲁木齐,6、海天无限,所有航线,下浮比例（淡季）,下浮比例（旺季：国庆/暑运）,固定值,,,10,,GHLC,BSP/GP,KMG319/KMG279/CTU152,"产品简介：利用海航集团11家航司国内航线网络资源，提供更多的中转航线航班衔接选择。
旅行类型：中转联程（含单程中转A-B-C、往返程中转A-B-C-B-A或
A-B-C、C-B-A、多航段中转A-B-C-D或更长）
产品权益：
所有航司统一行李标准：公务舱免费行李额30KG，经济舱免费行李额20KG。
通程值机、行李直挂服务保障。
金鹏积分按金鹏俱乐部现行标准执行。
差异化政策适用于所有昆明、郑州、成都、云南省内（大理、丽江、版纳）、重庆、赣州
",有效,,
UQ乌鲁木齐,6、海天无限,所有航线,Y,0,固定值,,,0,,GHLC,BSP/GP,KMG319/KMG279/CTU152,"产品简介：利用海航集团11家航司国内航线网络资源，提供更多的中转航线航班衔接选择。
旅行类型：中转联程（含单程中转A-B-C、往返程中转A-B-C-B-A或
A-B-C、C-B-A、多航段中转A-B-C-D或更长）
产品权益：
所有航司统一行李标准：公务舱免费行李额30KG，经济舱免费行李额20KG。
通程值机、行李直挂服务保障。
金鹏积分按金鹏俱乐部现行标准执行。
差异化政策适用于所有昆明、郑州、成都、云南省内（大理、丽江、版纳）、重庆、赣州
",有效,,
UQ乌鲁木齐,6、海天无限,所有航线,H/K,0.05,固定值,,,0.03,,GHLC,BSP/GP,KMG319/KMG279/CTU152,"产品简介：利用海航集团11家航司国内航线网络资源，提供更多的中转航线航班衔接选择。
旅行类型：中转联程（含单程中转A-B-C、往返程中转A-B-C-B-A或
A-B-C、C-B-A、多航段中转A-B-C-D或更长）
产品权益：
所有航司统一行李标准：公务舱免费行李额30KG，经济舱免费行李额20KG。
通程值机、行李直挂服务保障。
金鹏积分按金鹏俱乐部现行标准执行。
差异化政策适用于所有昆明、郑州、成都、云南省内（大理、丽江、版纳）、重庆、赣州
",有效,,
UQ乌鲁木齐,6、海天无限,所有航线,L/M/X,0.07,固定值,,,0.05,,GHLC,BSP/GP,KMG319/KMG279/CTU152,"产品简介：利用海航集团11家航司国内航线网络资源，提供更多的中转航线航班衔接选择。
旅行类型：中转联程（含单程中转A-B-C、往返程中转A-B-C-B-A或
A-B-C、C-B-A、多航段中转A-B-C-D或更长）
产品权益：
所有航司统一行李标准：公务舱免费行李额30KG，经济舱免费行李额20KG。
通程值机、行李直挂服务保障。
金鹏积分按金鹏俱乐部现行标准执行。
差异化政策适用于所有昆明、郑州、成都、云南省内（大理、丽江、版纳）、重庆、赣州
",有效,,
UQ乌鲁木齐,6、海天无限,所有航线,V/N/Q,0.1,固定值,,,0.07,,GHLC,BSP/GP,KMG319/KMG279/CTU152,"产品简介：利用海航集团11家航司国内航线网络资源，提供更多的中转航线航班衔接选择。
旅行类型：中转联程（含单程中转A-B-C、往返程中转A-B-C-B-A或
A-B-C、C-B-A、多航段中转A-B-C-D或更长）
产品权益：
所有航司统一行李标准：公务舱免费行李额30KG，经济舱免费行李额20KG。
通程值机、行李直挂服务保障。
金鹏积分按金鹏俱乐部现行标准执行。
差异化政策适用于所有昆明、郑州、成都、云南省内（大理、丽江、版纳）、重庆、赣州
",有效,,
UQ乌鲁木齐,6、海天无限,所有航线,A/U/T/Z/P,0.1,固定值,,,0.07,,GHLC,BSP/GP,KMG319/KMG279/CTU152,"产品简介：利用海航集团11家航司国内航线网络资源，提供更多的中转航线航班衔接选择。
旅行类型：中转联程（含单程中转A-B-C、往返程中转A-B-C-B-A或
A-B-C、C-B-A、多航段中转A-B-C-D或更长）
产品权益：
所有航司统一行李标准：公务舱免费行李额30KG，经济舱免费行李额20KG。
通程值机、行李直挂服务保障。
金鹏积分按金鹏俱乐部现行标准执行。
差异化政策适用于所有昆明、郑州、成都、云南省内（大理、丽江、版纳）、重庆、赣州
",有效,,
