航司,产品名称,航线,订座舱位,上浮价格,前返计算方式,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效截止日期,创建人,创建时间
8L,6、海天无限,所有航线,A/U/T/Z/P,0.1,百分比,,固定值,0.07,,GHLC,BSP/GP,KMG319/KMG279/CTU152,"产品简介：利用海航集团11家航司国内航线网络资源，提供更多的中转航线航班衔接选择。
旅行类型：中转联程（含单程中转A-B-C、往返程中转A-B-C-B-A或
A-B-C、C-B-A、多航段中转A-B-C-D或更长）
产品权益：
所有航司统一行李标准：公务舱免费行李额30KG，经济舱免费行李额20KG。
通程值机、行李直挂服务保障。
金鹏积分按金鹏俱乐部现行标准执行。
差异化政策适用于所有昆明、郑州、成都、云南省内（大理、丽江、版纳）、重庆、赣州
",有效,,
8L,7、GP免费行李,所有航线,GP免费行李20KG                                Y/B/H/K/L/M/X/V/N/Q/A/U/T/Z（不含小舱位）舱免费行李额：20KG,无,固定值,,固定值,无,,,BSP/GP,KMG319/KMG279/CTU152,"BSP,B2B  Y舱20KG  
B/H/K/L/M/X/G  10KG
V/N/Q/A/U/T/Z  0KG",有效,,
8L,8、商旅优选产品,所有航线,适用舱位：H/K/L/M/X/V/N/Q/A/U/T/Z/P 产品代码：SLYX,50,固定值,,固定值,25,,SLYX,BSP/GP,KMG319/KMG279/CTU152,免费行李额：按现行《祥鹏航空国内航班行李政策差异化标准政策》执行,有效,,
8L,8、商旅优选产品,所有航线,适用舱位：H/K/L/M/X/V/N/Q/A/U/T/Z/P 产品代码：SLYX,100,固定值,,固定值,50,,SLYX,BSP/GP,KMG319/KMG279/CTU152,免费行李额：按现行《祥鹏航空国内航班行李政策差异化标准政策》执行,有效,,
8L,云南地区属地GP溢价产品,云南进出港国内航班,H/K/L/M/X/V/N/Q/A/U/T/Z/P,200,固定值,,固定值,160,,GPYJ,BSP/GP,KMG319,Y+GPYJ+200,有效,,
8L,云南地区属地GP溢价产品,云南进出港国内航班,H/K/L/M/X/V/N/Q/A/U/T/Z/P,300,固定值,,固定值,240,,GPYJ300,BSP/GP,KMG319,Y+GPYJ+300,有效,,
8L,云南地区属地GP溢价产品,云南进出港国内航班,H/K/L/M/X/V/N/Q/A/U/T/Z/P,400,固定值,,固定值,320,,GPYJ400,BSP/GP,KMG319,Y+GPYJ+400,有效,,
8L,云南地区属地GP溢价产品,云南进出港国内航班,H/K/L/M/X/V/N/Q/A/U/T/Z/P,600,固定值,,固定值,480,,GPYJ600,BSP/GP,KMG319,Y+GPYJ+600,有效,,
8L,云南地区属地GP溢价产品,云南进出港国内航班,H/K/L/M/X/V/N/Q/A/U/T/Z/P,800,固定值,,固定值,640,,GPYJ,BSP/GP,KMG319,Y+GPYJ+800,有效,,
8L,云南地区属地GP溢价产品,云南进出港国内航班,H/K/L/M/X/V/N/Q/A/U/T/Z/P,1000,固定值,,固定值,800,,GPYJ,BSP/GP,KMG319,Y+GPYJ+1000,有效,,
