航司,产品名称,航线,订座舱位,上浮价格,前返计算方式 ,前返计算值,后返计算方式,后返计算值,定额代理费,运价标识,票证类型,出票OFFICE,备注,有效开始日期,有效截止日期,创建人,创建时间,,,,,,,,,,,,,,
3U,3U优惠退票,川航国内航线,Q/M,200,固定值,60,,,,"
***/0KJTP",GP/BSP,KMG319,"自愿退票时间在航班计划离站时间48小时（含）前，退
票费率按照航班计划离站时间168小时（含）前费率执行",,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,
3U,3U里程加享,川航国内航线,T/H/G/L/E/R/K/N,50,固定值,15,,,,*/0KJL1,GP/BSP,KMG319,赠送额外500里程,,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,
3U,3U里程加享,川航国内航线,Q/M,50,固定值,10,,,,***/0KJL1,GP/BSP,KMG319,赠送额外500里程,,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,
3U,3U里程加享,川航国内航线,T/H/G/L/E/R/K/N,100,固定值,35,,,,*/0KJL2,GP/BSP,KMG319,赠送额外1000里程,,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,
3U,3U里程加享,川航国内航线,Q/M,100,固定值,30,,,,***/0KJL2,GP/BSP,KMG319,赠送额外1000里程,,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,
3U,3U里程加享,川航国内航线,T/H/G/L/E/R/K/N,150,固定值,55,,,,*/0KJL3,GP/BSP,KMG319,赠送额外1500里程,,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,
3U,3U里程加享,川航国内航线,Q/M,150,固定值,45,,,,***/0KJL3,GP/BSP,KMG319,赠送额外1500里程,,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,
3U,3U里程加享,川航国内航线,T/H/G/L/E/R/K/N,200,固定值,75,,,,*/0KJL4,GP/BSP,KMG319,赠送额外2000里程,,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,
3U,3U里程加享,川航国内航线,Q/M,200,固定值,60,,,,***/0KJL4,GP/BSP,KMG319,赠送额外2000里程,,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,
3U,3U里程加享,川航国内航线,I/J,400,固定值,160,,,,*/0KJL5,GP/BSP,KMG319,赠送额外4000里程,,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,
3U,3U里程加享,川航国内航线,I/J,400,固定值,160,,,,*/0KJL5,GP/BSP,KMG319,赠送额外4000里程,,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,
3U,3U里程加享,川航国内航线,T/H/G/L/E/R/K/N,400,固定值,140,,,,***/0KJL5,GP/BSP,KMG319,赠送额外4000里程,,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,
3U,3U里程加享,川航国内航线,I/J,800,固定值,330,,,,*/0KJL8,GP/BSP,KMG319,赠送额外8000里程,,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,
3U,3U里程加享,川航国内航线,T/H/G/L/E/R/K/N,800,固定值,330,,,,*/0KJL8,GP/BSP,KMG319,赠送额外8000里程,,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,
3U,3U里程加享,川航国内航线,Q/M,800,固定值,300,,,,***/0KJL8,GP/BSP,KMG319,赠送额外8000里程,,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,
3U,3U里程加享,川航国际地区航线,C/I/J/P/Y/T/W/H/M/G/S/L/Q/E/V/R/N,"单程+100元
往返+200元",固定值,"单程40元
往返80元",,,,"*M01**
*M11**",GP/BSP,KMG319,"单程赠送额外1000里程
往返赠送额外1000里程",,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,
3U,3U里程加享,川航国际地区航线,C/I/J/P/Y/T/W/H/M/G/S/L/Q/E/V/R/N,"单程+200元
往返+400元",固定值,"单程80元
往返160元",,,,"*M02**
*M12**",GP/BSP,KMG319,"单程赠送额外2000里程
往返赠送额外4000里程",,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,
3U,3U里程加享,川航国际地区航线,C/I/J/P/Y/T/W/H/M/G/S/L/Q/E/V/R/N,"单程+500元
往返+1000元",固定值,"单程200元
往返400元",,,,"*M05**
*M15**",GP/BSP,KMG319,"单程赠送额外5000里程
往返赠送额外10000里程",,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,
3U,3U行李加享,川航国际地区航线,Y/T/W/H/M/G/S/L/Q/E/V/R/N/U/X/K/B,动态定价,固定值,/,,,,***BE***,GP/BSP,KMG319,额外1件免费托运行李额,,航班日期2026年3月29日-2026年10月24日,,,,,,,,,,,,,,,,
